text,true_label,predicted_label,prob_F,prob_PE,prob_LF,prob_US,prob_A,prob_SE,prob_FT,prob_SC,prob_PO,prob_O,prob_MN,prob_L
product shall audit capabilitiesthe product shall store messages minimum one year audit transaction tracking purposes,SE,US,0.029185373336076736,0.18674129247665405,0.055251747369766235,0.42357006669044495,0.0234835147857666,0.0280764102935791,0.051102180033922195,0.03991842269897461,0.02046704851090908,0.07474168390035629,0.04902591556310654,0.018436307087540627
recycled parts search results provided estimator shall retrieved system,F,F,0.9681434035301208,0.002338725607842207,0.004317978397011757,0.00926421582698822,0.001584353856742382,0.003998685162514448,0.0017217485001310706,0.0022167456336319447,0.001348659978248179,0.0016774008981883526,0.0014756348682567477,0.001912396401166916
users able access streaming movies 2 clicks logging website,US,PE,0.037489306181669235,0.39227965474128723,0.02269168198108673,0.26637986302375793,0.030801359564065933,0.04039204493165016,0.06290221214294434,0.046735990792512894,0.020174505189061165,0.0371268056333065,0.02593996748328209,0.01708655245602131
product shall available 24 hours per day seven days per week,A,A,0.01096054632216692,0.08737754076719284,0.06508958339691162,0.01922852173447609,0.3357532322406769,0.04711887240409851,0.026103176176548004,0.11148378998041153,0.05588959529995918,0.12367028743028641,0.07335074990987778,0.04397409036755562
system shall help user avoid making mistakes scheduling classes clinicals nursing students,US,US,0.40523868799209595,0.03342287614941597,0.03091377019882202,0.41307470202445984,0.010757943615317345,0.00987276528030634,0.034789104014635086,0.013889580965042114,0.009506016969680786,0.014956079423427582,0.012801461853086948,0.010776997543871403
system shall display detailed invoice current order confirmed,F,F,0.9654882550239563,0.002974117174744606,0.0043509164825081825,0.008336476981639862,0.0018819625256583095,0.005128040444105864,0.001833538874052465,0.0027183103375136852,0.0015135714784264565,0.0019044044893234968,0.0017073462950065732,0.0021629829425364733
system use secured database,SE,SE,0.009845276363193989,0.014651669189333916,0.014130277559161186,0.007169974967837334,0.014035660773515701,0.7694311738014221,0.017468785867094994,0.015100711956620216,0.016228927299380302,0.08267144113779068,0.019260039553046227,0.0200060848146677
leads washing functionality store potential lead duplicates returned enterprise system,F,F,0.9612529277801514,0.0025067362003028393,0.004962147679179907,0.011720344424247742,0.0016086952527984977,0.006076599936932325,0.002303394954651594,0.0024170181713998318,0.0014368916163221002,0.0018913251115009189,0.0016357513377442956,0.002188213402405381
system shall interface faculty central server,O,O,0.006720694713294506,0.019935468211770058,0.06611113995313644,0.01477772369980812,0.039807721972465515,0.051424767822027206,0.01879211701452732,0.027571385726332664,0.03850402310490608,0.6546441912651062,0.0403241403400898,0.02138669043779373
product shall internet browser independentthe product must run using internet explorer netscape navigator,MN,O,0.004603203851729631,0.021550899371504784,0.07181759923696518,0.01712263561785221,0.04348202422261238,0.03898288682103157,0.017786577343940735,0.03124762885272503,0.05745088309049606,0.6266922354698181,0.04626615718007088,0.022997228428721428
staff members shall able complete set tasks timely manner,PE,US,0.12518133223056793,0.1151476502418518,0.02135377563536167,0.5115951299667358,0.015568668022751808,0.032470811158418655,0.06505963951349258,0.025663113221526146,0.01985255628824234,0.016022635623812675,0.025434236973524094,0.026650484651327133
system may throttled slowed heavy loads ensure service everybody throttling meant certain functionality may unavailable heavy server load,PE,O,0.007714858744293451,0.13991716504096985,0.047221001237630844,0.0647532120347023,0.1100306436419487,0.12696757912635803,0.08220772445201874,0.0853794664144516,0.06654412299394608,0.14462488889694214,0.05179319530725479,0.07284613698720932
system allow customers pay streaming movie prepaid card,F,F,0.9604525566101074,0.0033313394524157047,0.004400898702442646,0.012664293870329857,0.0021331841126084328,0.004559665452688932,0.0025986519176512957,0.002870245836675167,0.0015218958724290133,0.0016682968707755208,0.0015476293629035354,0.0022514760494232178
calculations performed system must comply according norms set user vary unless explicitly changed user,L,SE,0.1510692983865738,0.02835427224636078,0.029685968533158302,0.07195457071065903,0.027448952198028564,0.4541204869747162,0.0538034625351429,0.026326527819037437,0.02461489662528038,0.033415574580430984,0.02197956293821335,0.07722637802362442
hit results sinking ship product shall mark ship sunk offensive grid offensive player,F,F,0.9643120169639587,0.0023557315580546856,0.0053991288878023624,0.01018692646175623,0.001653327257372439,0.0045893555507063866,0.0019309768686071038,0.002485312055796385,0.0014546574093401432,0.001987501746043563,0.001581010059453547,0.0020641812589019537
product allow priviledged users view meeting schedules multiple reporting views,F,F,0.8767874836921692,0.010277661494910717,0.008724675513803959,0.07155744731426239,0.003706279443576932,0.004372202325612307,0.007120693102478981,0.004823800642043352,0.0024746907874941826,0.00334151485003531,0.003248763969168067,0.003564834827557206
